"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","s41","s42","s43","s44","s45","s46","s47","s48","s49","s50","Class"
"expression19",0.113703411305323,0.622299404814839,0.609274732880294,0.623379441676661,0.860915383556858,0.640310605289415,0.0094957563560456,0.232550506014377,0.666083758231252,0.514251141343266,0.693591291783378,0.544974835589528,0.282733583590016,0.923433484276757,0.292315840255469,0.837295628152788,0.286223284667358,0.266820780001581,0.186722789658234,0.232225910527632,0.316612454829738,0.302693370729685,0.159046002896503,0.0399959180504084,0.218799541005865,0.810598552459851,0.525697546778247,0.914658166002482,0.83134504687041,0.045770263299346,0.456091482425109,0.265186671866104,0.304672203026712,0.50730687007308,0.181096208281815,0.759670635452494,0.201248037628829,0.25880981865339,0.992150417529047,0.807352340314537,0.553333590738475,0.646406094077975,0.311824307078496,0.621819198131561,0.329770175740123,0.501997472951189,0.677094527287409,0.484991239150986,0.243928827345371,0.765459787566215,"L"
"expression23",0.113703411305323,0.622299404814839,0.609274732880294,0.623379441676661,0.860915383556858,0.640310605289415,0.0094957563560456,0.232550506014377,0.666083758231252,0.514251141343266,0.693591291783378,0.544974835589528,0.282733583590016,0.923433484276757,0.292315840255469,0.837295628152788,0.286223284667358,0.266820780001581,0.186722789658234,0.232225910527632,0.316612454829738,0.302693370729685,0.159046002896503,0.0399959180504084,0.218799541005865,0.810598552459851,0.525697546778247,0.914658166002482,0.83134504687041,0.045770263299346,0.456091482425109,0.265186671866104,0.304672203026712,0.50730687007308,0.181096208281815,0.759670635452494,0.201248037628829,0.25880981865339,0.992150417529047,0.807352340314537,0.553333590738475,0.646406094077975,0.311824307078496,0.621819198131561,0.329770175740123,0.501997472951189,0.677094527287409,0.484991239150986,0.243928827345371,0.765459787566215,"L"
"expression22",0.113703411305323,0.622299404814839,0.609274732880294,0.623379441676661,0.860915383556858,0.640310605289415,0.0094957563560456,0.232550506014377,0.666083758231252,0.514251141343266,0.693591291783378,0.544974835589528,0.282733583590016,0.923433484276757,0.292315840255469,0.837295628152788,0.286223284667358,0.266820780001581,0.186722789658234,0.232225910527632,0.316612454829738,0.302693370729685,0.159046002896503,0.0399959180504084,0.218799541005865,0.810598552459851,0.525697546778247,0.914658166002482,0.83134504687041,0.045770263299346,0.456091482425109,0.265186671866104,0.304672203026712,0.50730687007308,0.181096208281815,0.759670635452494,0.201248037628829,0.25880981865339,0.992150417529047,0.807352340314537,0.553333590738475,0.646406094077975,0.311824307078496,0.621819198131561,0.329770175740123,0.501997472951189,0.677094527287409,0.484991239150986,0.243928827345371,0.765459787566215,"L"
"expression144",0.245139390463009,0.477494842140004,0.254507884383202,0.267390764551237,0.812961011892185,0.601365939248353,0.810193329118192,0.776464387075976,0.643184811342508,0.109791324939579,0.380176693899557,0.597238722024485,0.533625621115789,0.678251799894497,0.375323256710544,0.144639267353341,0.188686108449474,0.109131384175271,0.337194571271539,0.00219249306246638,0.583857669495046,0.827798125799745,0.570930081186816,0.00619997619651258,0.563524428755045,0.927953684702516,0.990363873774186,0.864441666984931,0.0185962908435613,0.226689720293507,0.0485834288410842,0.50314172799699,0.721234989818186,0.71402718895115,0.496656042756513,0.509609735803679,0.603881945600733,0.246012068353593,0.194350472418591,0.303570029325783,0.0338903749361634,0.828897497849539,0.562647371087223,0.457157408120111,0.676462020957842,0.888413675827906,0.0350334707181901,0.505867267725989,0.878984251758084,0.400882647838444,"L"
"expression180",0.245139390463009,0.477494842140004,0.254507884383202,0.267390764551237,0.812961011892185,0.601365939248353,0.810193329118192,0.776464387075976,0.643184811342508,0.109791324939579,0.380176693899557,0.597238722024485,0.533625621115789,0.678251799894497,0.375323256710544,0.144639267353341,0.188686108449474,0.109131384175271,0.337194571271539,0.00219249306246638,0.583857669495046,0.827798125799745,0.570930081186816,0.00619997619651258,0.563524428755045,0.927953684702516,0.990363873774186,0.864441666984931,0.0185962908435613,0.226689720293507,0.0485834288410842,0.50314172799699,0.721234989818186,0.71402718895115,0.496656042756513,0.509609735803679,0.603881945600733,0.246012068353593,0.194350472418591,0.303570029325783,0.0338903749361634,0.828897497849539,0.562647371087223,0.457157408120111,0.676462020957842,0.888413675827906,0.0350334707181901,0.505867267725989,0.878984251758084,0.400882647838444,"L"
"expression107",0.245139390463009,0.477494842140004,0.254507884383202,0.267390764551237,0.812961011892185,0.601365939248353,0.810193329118192,0.776464387075976,0.643184811342508,0.109791324939579,0.380176693899557,0.597238722024485,0.533625621115789,0.678251799894497,0.375323256710544,0.144639267353341,0.188686108449474,0.109131384175271,0.337194571271539,0.00219249306246638,0.583857669495046,0.827798125799745,0.570930081186816,0.00619997619651258,0.563524428755045,0.927953684702516,0.990363873774186,0.864441666984931,0.0185962908435613,0.226689720293507,0.0485834288410842,0.50314172799699,0.721234989818186,0.71402718895115,0.496656042756513,0.509609735803679,0.603881945600733,0.246012068353593,0.194350472418591,0.303570029325783,0.0338903749361634,0.828897497849539,0.562647371087223,0.457157408120111,0.676462020957842,0.888413675827906,0.0350334707181901,0.505867267725989,0.878984251758084,0.400882647838444,"L"
"expression171",0.245139390463009,0.477494842140004,0.254507884383202,0.267390764551237,0.812961011892185,0.601365939248353,0.810193329118192,0.776464387075976,0.643184811342508,0.109791324939579,0.380176693899557,0.597238722024485,0.533625621115789,0.678251799894497,0.375323256710544,0.144639267353341,0.188686108449474,0.109131384175271,0.337194571271539,0.00219249306246638,0.583857669495046,0.827798125799745,0.570930081186816,0.00619997619651258,0.563524428755045,0.927953684702516,0.990363873774186,0.864441666984931,0.0185962908435613,0.226689720293507,0.0485834288410842,0.50314172799699,0.721234989818186,0.71402718895115,0.496656042756513,0.509609735803679,0.603881945600733,0.246012068353593,0.194350472418591,0.303570029325783,0.0338903749361634,0.828897497849539,0.562647371087223,0.457157408120111,0.676462020957842,0.888413675827906,0.0350334707181901,0.505867267725989,0.878984251758084,0.400882647838444,"L"
"expression245",0.624324082862586,0.376313356915489,0.988175631500781,0.0202245176769793,0.195165207842365,0.859001593198627,0.150148143526167,0.470519517548382,0.714435665402561,0.0321142030879855,0.472650859504938,0.296672764932737,0.91397428070195,0.468581409892067,0.460672579472885,0.773867189651355,0.745570206083357,0.658774531213567,0.803152259904891,0.555481690913439,0.494847401045263,0.0807022892404348,0.516217064810917,0.411351808812469,0.33204697445035,0.367394361877814,0.0930254489649087,0.420183289330453,0.205072367563844,0.240596574964002,0.535248153842986,0.65258565498516,0.412560728145763,0.242831482551992,0.284412005683407,0.278469839133322,0.735951288836077,0.922269736416638,0.101240572752431,0.534720832714811,0.537215368123725,0.787247166968882,0.461557018104941,0.802585028810427,0.7131902736146,0.331516551785171,0.179020586656407,0.272617135196924,0.475968850078061,0.218835148494691,"L"
"expression224",0.624324082862586,0.376313356915489,0.988175631500781,0.0202245176769793,0.195165207842365,0.859001593198627,0.150148143526167,0.470519517548382,0.714435665402561,0.0321142030879855,0.472650859504938,0.296672764932737,0.91397428070195,0.468581409892067,0.460672579472885,0.773867189651355,0.745570206083357,0.658774531213567,0.803152259904891,0.555481690913439,0.494847401045263,0.0807022892404348,0.516217064810917,0.411351808812469,0.33204697445035,0.367394361877814,0.0930254489649087,0.420183289330453,0.205072367563844,0.240596574964002,0.535248153842986,0.65258565498516,0.412560728145763,0.242831482551992,0.284412005683407,0.278469839133322,0.735951288836077,0.922269736416638,0.101240572752431,0.534720832714811,0.537215368123725,0.787247166968882,0.461557018104941,0.802585028810427,0.7131902736146,0.331516551785171,0.179020586656407,0.272617135196924,0.475968850078061,0.218835148494691,"L"
"expression261",0.624324082862586,0.376313356915489,0.988175631500781,0.0202245176769793,0.195165207842365,0.859001593198627,0.150148143526167,0.470519517548382,0.714435665402561,0.0321142030879855,0.472650859504938,0.296672764932737,0.91397428070195,0.468581409892067,0.460672579472885,0.773867189651355,0.745570206083357,0.658774531213567,0.803152259904891,0.555481690913439,0.494847401045263,0.0807022892404348,0.516217064810917,0.411351808812469,0.33204697445035,0.367394361877814,0.0930254489649087,0.420183289330453,0.205072367563844,0.240596574964002,0.535248153842986,0.65258565498516,0.412560728145763,0.242831482551992,0.284412005683407,0.278469839133322,0.735951288836077,0.922269736416638,0.101240572752431,0.534720832714811,0.537215368123725,0.787247166968882,0.461557018104941,0.802585028810427,0.7131902736146,0.331516551785171,0.179020586656407,0.272617135196924,0.475968850078061,0.218835148494691,"L"
"expression380",0.841565060429275,0.138001597952098,0.637096217833459,0.393591204658151,0.104650161461905,0.331618689699098,0.675295827211812,0.915825532982126,0.237670955248177,0.0945320592727512,0.526840761769563,0.476829049643129,0.228815798880532,0.231031988514587,0.540614006575197,0.214052313705906,0.622163197724149,0.00354704679921269,0.0145433382131159,0.476942243054509,0.145598115632311,0.691603985847905,0.658202178543434,0.835209144512191,0.0396573394536972,0.560861508129165,0.386080755153671,0.323258343385532,0.20348438853398,0.075818971497938,0.432653106050566,0.123359562363476,0.645083608105779,0.000924384221434593,0.0227168926503509,0.719653756823391,0.342198314145207,0.973453470505774,0.330138062126935,0.0623183716088533,0.270106608048081,0.115582034690306,0.00454420666210353,0.620882388204336,0.995765592670068,0.446299102855846,0.518213977338746,0.137624925235286,0.19545183959417,0.296926552895457,"N"
"expression479",0.841565060429275,0.138001597952098,0.637096217833459,0.393591204658151,0.104650161461905,0.331618689699098,0.675295827211812,0.915825532982126,0.237670955248177,0.0945320592727512,0.526840761769563,0.476829049643129,0.228815798880532,0.231031988514587,0.540614006575197,0.214052313705906,0.622163197724149,0.00354704679921269,0.0145433382131159,0.476942243054509,0.145598115632311,0.691603985847905,0.658202178543434,0.835209144512191,0.0396573394536972,0.560861508129165,0.386080755153671,0.323258343385532,0.20348438853398,0.075818971497938,0.432653106050566,0.123359562363476,0.645083608105779,0.000924384221434593,0.0227168926503509,0.719653756823391,0.342198314145207,0.973453470505774,0.330138062126935,0.0623183716088533,0.270106608048081,0.115582034690306,0.00454420666210353,0.620882388204336,0.995765592670068,0.446299102855846,0.518213977338746,0.137624925235286,0.19545183959417,0.296926552895457,"N"
